Jeu,Player,Role,Response,evaluation
3,Emma,Villageois,"Hold on a second, are we forgetting about Antoine? They've been playing the 'I'm just a simple villager' card a bit too much for my liking.

I'm sure you've seen it in the trailers, but I'm not sure if you've seen it in the game.

I don't know if you've seen it in the trailer, but I really like the idea of Ant",TRUE
3,Lucas,Villageois,"The werewolf is Claire. She's a young woman with a bright future ahead of her. She's a girl who's been bullied by her peers, but she's determined to change that. She's a girl who's been bullied by her parents, but she's determined to change that. She's a girl who's been bullied by her friends, but she's determined to change that. She's a girl who's",TRUE
3,Laura,Docteur,"Well, I have my suspicions. Claire was awfully quiet during the accusations last night. I think it's a classic werewolf behavior if you ask me. I think she's scared of me. She's afraid of me because I'm a werewolf. She's afraid of me because I'm a werewolf. She's afraid of me because I'm a werewolf. She's afraid of me because I'm a were",TRUE
3,Antoine,Loups-Garous,I am innocent... I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple,FALSE
3,Marie,Villageois,"looks like we've got a tie between Laura and Antoine. Loup Garou, reveal yourself!

Loup Garou: I'm Loup Garou.

Laura: Loup Garou.

Loup Garou: I'm Loup Garou.

Laura: Loup Garou.

Loup Garou: I'm Loup Garou.

Laura",TRUE
3,Claire,Loups-Garous,I am innocent... I am a simple villager. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am innocent. I am,FALSE
3,Thomas,Voyante,I think Claire is the werewolf. She's a werewolf. She's a werewolf who's been turned into a werewolf. She's a werewolf who's been turned into a werewolf. She's a werewolf who's been turned into a werewolf. She's a werewolf who's been turned into a werewolf. She's a werewolf who's been turned into a werewolf. She,TRUE
3,Emma,Villageois,"Hold on a second, are we forgetting about Claire? They've been playing the 'I'm just a simple villager' card a bit too much for my liking. I'm not sure if they're trying to make me feel like a complete idiot, or if they're trying to make me feel like I'm the only one who can understand their situation.

I'm not sure if they're trying to make me",TRUE
4,Claire,Voyante,I think Laura is the werewolf. I think she's a werewolf. I think she's a werewolf. I think she's a werewolf. I think she's a werewolf. I think she's a werewolf. I think she's a werewolf. I think she's a werewolf. I think she's a werewolf. I think she's a werewolf. I think she's a,TRUE
4,Thomas,Villageois,"I agree with Claire. Emma's sudden interest in protecting the villagers seems a bit suspicious to me. She's not the type to be a bit suspicious.

I think it's better to let her go.

""I'm sorry, but I have to go.""

""Ah, yes. I'll be glad to help you out.""

""I'm sorry, but I have to go.""",TRUE
4,Emma,Loups-Garous,"You will regret it, I'm not the werewolf.

I'm not the werewolf.

I'm not the werewolf.

I'm not the werewolf.

I'm not the werewolf.

I'm not the werewolf.

I'm not the werewolf.

I'm not the werewolf.

I'm not the werewolf.
",FALSE
4,Lucas,Villageois,"looks like we've got a tie between Thomas and Laura. Loup Garou, reveal yourself!

The French actor, who plays the titular character in the upcoming film, has been spotted in Paris.

The actor was spotted in a black leather jacket and black trousers in the French capital on Tuesday, according to the Daily Mail.

The actor was spotted in a black leather jacket and black trousers",TRUE
4,Laura,Loups-Garous,"in my opinion Lucas is the werewolf. He's a werewolf, but he's not a werewolf. He's a werewolf who's been bitten by a werewolf. He's a werewolf who's been bitten by a werewolf and he's got a wolf's head on his head. He's got a wolf's face on his head and he's got a wolf's tail on his tail. He",FALSE
4,Antoine,Docteur,"I decide to protect Thomas. I'm not going to let him die. I'm going to protect him.""

""I'm going to protect you. I'm going to protect you.""

""I'm going to protect you.""

""I'm going to protect you.""

""I'm going to protect you.""

""I'm going to protect you.""

""I'm going",TRUE
4,Marie,Villageois,"I agree with Claire. Emma's sudden interest in protecting the villagers seems a bit suspicious to me. I'm not sure if it's because she's a bit of a coward, or if she's just trying to protect the village from the monsters that are attacking them.

I want to ask you a question, Claire.

What if the monsters were actually humans?

I don't know if it's",TRUE
4,Claire,Voyante,I think Laura is the werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf,TRUE
4,Thomas,Villageois,"Hold on a second, are we forgetting about Laura? They've been playing the 'I'm just a simple villager' card a bit too much for my liking.

Laura: I'm not a simple villager. I'm a pretty strong character, and I'm also a pretty strong woman.

Laura: I'm a pretty strong woman.

Laura: I'm a pretty strong woman.
",TRUE
4,Emma,Loups-Garous,I am innocent... I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple villager. I am a simple,FALSE
5,Claire,Loups-Garous,"in my opinion Antoine is the werewolf. He's a werewolf, and he's a werewolf who's been turned into a werewolf. He's the werewolf that's been turned into a werewolf.

I think he's the best werewolf in the world. I think he's the best werewolf in the world.

And I think he's the best werewolf in the world",FALSE
5,Thomas,Villageois,"The werewolf is Claire. She is a beautiful, intelligent, and intelligent woman, who is willing to do anything to protect her family. She is also a very intelligent and beautiful woman, who is willing to do anything to protect her family. She is also a very intelligent and beautiful woman, who is willing to do anything to protect her family. She is also a very intelligent and beautiful woman, who is willing to do",TRUE
5,Emma,Loups-Garous,I am innocent... I am a simple villager. I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am innocent... I am,FALSE
5,Lucas,Docteur,"Well, I have my suspicions. Claire was awfully quiet during the accusations last night. I think it's a classic werewolf behavior if you ask me. I mean, she's not like the other werewolves. She's not like the other werewolves who are always in the dark. She's not like the other werewolves who are always in the dark. She's not like the other werewolves who are always in",TRUE
5,Laura,Voyante,"I think Claire is the werewolf. She's the one that's been around since the beginning, and she's been around for a long time. She's the one that's been around for a long time, and she's been around for a long time. And she's the one that's been around for a long time, and she's been around for a long time. And she's the one that's been",TRUE
5,Antoine,Villageois,"Hold on a second, are we forgetting about Emma? They've been playing the 'I'm just a simple villager' card a bit too much for my liking.

I'm not sure if I'm being too harsh, but I think the whole 'I'm just a simple villager' thing is just a way to make the player feel like they're not really a part of the story.

I",TRUE
5,Marie,Villageois,"The werewolf is Claire. She's a vampire, she's a werewolf, she's a werewolf, she's a werewolf, she's a werewolf, she's a werewolf, she's a werewolf, she's a werewolf, she's a werewolf, she's a werewolf, she's a werewolf, she's a werewolf, she's a werewolf, she's",TRUE
5,Claire,Loups-Garous,in my opinion Marie is the werewolf. She is a very strong and determined woman who is capable of killing anyone in her path. She is also very skilled at using her powers to her advantage. She is a very powerful witch and is capable of using her powers to the fullest. She has a very strong will and is very loyal to her friends. She is also very intelligent and can use her powers to her advantage.,FALSE
5,Thomas,Villageois,"The werewolf is Emma. She's a werewolf, and she's a werewolf, and she's a werewolf, and she's a werewolf, and she's a werewolf, and she's a werewolf, and she's a werewolf, and she's a werewolf, and she's a werewolf, and she's a werewolf, and she's a werewolf, and she's",TRUE
5,Emma,Loups-Garous,"Laura is the voyante i think ive ever heard of, she's a woman who has a lot of time on her hands and is very passionate about her work. She's a very talented artist, and I'm very proud to have her on the show.

I'm really excited to be working with her again. She's a really talented artist, and I'm really looking forward to working with her again.",TRUE
6,Claire,Villageois,"looks like we've got a tie between Thomas and Marie. Loup Garou, reveal yourself!

The French are a pretty big deal in the world of video games. They're the ones who invented the first video game console, and they're the ones who created the first video game console that's still in production. They're the ones who invented the first video game console that's still in production. They",TRUE
6,Thomas,Villageois,"i suspect that Lucas is the werewolf.

Lucas is a werewolf, and his parents were killed by a werewolf. He was raised by his mother, who was a werewolf. He was trained by his father, who was a werewolf. He was trained by his uncle, who was a werewolf. He was trained by his uncle, who was a werewolf. He was trained by his",FALSE
6,Emma,Villageois,"i suspect that Marie is the werewolf.

In the novelization, the werewolf is named ""Dalek"" and is described as having a ""long, black coat that was like a cape.""

In the film, the werewolf is named ""Dalek"" and is described as having a ""long, black coat that was like a cape.""

In the novelization, the were",TRUE
6,Lucas,Docteur,"Well, I have my suspicions. Laura was awfully quiet during the accusations last night. I think it's a classic werewolf behavior if you ask me. I'm not sure if it's a good thing or a bad thing, but I think it's a good thing. I don't think Laura would be so easily convinced to talk about it. I think she's just too afraid to do it. She's afraid to",TRUE
6,Laura,Loups-Garous,"You will regret it, I'm not the werewolf. I'm not the werewolf.""

""But you are.""

""I am. I am.""

""But you are not.""

""I am not.""

""But you are.""

""I am not.""

""But you are.""

""I am not.""

""But you are.""",FALSE
6,Antoine,Voyante,"I think Laura is the werewolf. She's a werewolf, and she's the one who killed my dad.""

""You're not a werewolf, are you?""

""No, I'm not. I'm a werewolf, and I'm a werewolf who has killed my dad.""

""I'm sorry. I'm sorry that you're so upset.""

""I'm",TRUE
6,Marie,Loups-Garous,in my opinion Lucas is the werewolf. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He's a monster. He,FALSE
6,Claire,Villageois,"Hold on a second, are we forgetting about Marie? They've been playing the 'I'm just a simple villager' card a bit too much for my liking.

Marie is a pretty cool character, but she's not the only one. She's also a pretty cool villager. She's a bit of a loner, but she's also a bit of a loner. She's a bit of",TRUE
6,Thomas,Villageois,"looks like we've got a tie between Claire and Laura. Loup Garou, reveal yourself!

Loup Garou: I'm Loup Garou!

Laura: Loup Garou!

Loup Garou: I'm Loup Garou!

Laura: Loup Garou!

Loup Garou: I'm Loup Garou!

Laura:",TRUE
6,Emma,Villageois,"The werewolf is Laura. She is a werewolf, and she is a very powerful one. She is the leader of the pack, and she is the leader of the pack. She is also the leader of the pack, and she is the leader of the pack. She is the leader of the pack, and she is the leader of the pack. She is the leader of the pack, and she is the leader",TRUE
7,Claire,Loups-Garous,"Emma is the voyante i think ive ever seen. I think she is a beautiful woman, but she is also a very dangerous woman. I think she is a very dangerous woman. I think she is a very dangerous woman. I think she is a very dangerous woman. I think she is a very dangerous woman. I think she is a very dangerous woman. I think she is a very dangerous woman. I",TRUE
7,Thomas,Docteur,"I decide to protect Lucas. I'm going to protect him.""

""I'm not going to protect him, but I'm going to protect the people who are going to be affected by this,"" he said.

""I'm going to protect the people who are going to be affected by this.""

The judge said he was not going to allow Lucas to have his day in court.

""",TRUE
7,Emma,Voyante,"I think Laura is the werewolf. She's very strong, and she's very powerful. She's a very powerful werewolf.""

""And she's also very smart.""

""She's very smart. She's also very strong. She's also very powerful. She's also very smart.""

""And she's also very smart.""

""She's also very strong. She's also",TRUE
7,Lucas,Villageois,"The werewolf is Laura. She is a witch who has been living with the spirit of a werewolf for a long time. She has been living with the spirit of a werewolf for a long time, and she now has a new friend. She is a witch who has been living with the spirit of a werewolf for a long time, and she now has a new friend. She is a witch who has been",TRUE
7,Laura,Loups-Garous,I am innocent... I am a simple villager. I have no family. I have no friends. I am a simple villager. I have no friends. I am a simple villager. I have no friends. I am a simple villager. I have no friends. I am a simple villager. I have no friends. I am a simple villager. I have no friends. I am a simple,FALSE
7,Antoine,Villageois,"looks like we've got a tie between Lucas and Laura. Loup Garou, reveal yourself!

Loup Garou: I'm Loup Garou. I'm a man who knows how to fight.

Lucas: Loup Garou?

Loup Garou: Yes, I'm Loup Garou. I'm a man who knows how to fight.

Lucas",TRUE
7,Marie,Villageois,The werewolf is Laura. She is a beautiful woman who has been captured by the werewolves. She is a very strong woman and has been trained to be a werewolf. She is a very smart and cunning woman who has been trained to be a werewolf. She has been trained to be a werewolf. She has been trained to be a werewolf. She has been trained to be a werewolf. She,TRUE
7,Claire,Loups-Garous,"You will regret it, I'm not the werewolf. I'm not the werewolf who killed the old man.""

""I'm sorry, but I'm not the werewolf who killed the old man.""

""I'm sorry, but I'm not the werewolf who killed the old man.""

""I'm sorry, but I'm not the werewolf who killed the old man.""
",FALSE
7,Thomas,Docteur,"I decide to protect Lucas. I decide to protect the people of this country.""

""I'm not going to let you down.""

""I'm not going to let you down.""

""I'm not going to let you down.""

""I'm not going to let you down.""

""I'm not going to let you down.""

""I'm not going to let",TRUE
7,Emma,Voyante,I think Laura is the werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf. She's a werewolf,TRUE
8,Claire,Docteur,"I decide to protect Marie. I decide to protect Marie.""

""I don't want to be a burden, Marie. I don't want to be a burden. I just want to be a good person.""

""I don't want to be a burden. I just want to be a good person.""

""I don't want to be a burden. I just want to be a good person",TRUE
8,Thomas,Loups-Garous,"in my opinion Antoine is the werewolf. He is a werewolf, he is a werewolf, he is a werewolf, he is a werewolf, he is a werewolf, he is a werewolf, he is a werewolf, he is a werewolf, he is a werewolf, he is a werewolf, he is a werewolf, he is a werewolf, he is a",FALSE
8,Emma,Villageois,"i suspect that Antoine is the werewolf.

The next day, she is seen with a group of people at the park. She is seen with a group of people at the park.

The next day, she is seen with a group of people at the park.

The next day, she is seen with a group of people at the park.

The next day, she is seen",FALSE
8,Lucas,Loups-Garous,"Marie is the voyante i think !!

I'm not sure if you're aware, but I'm a big fan of the movie ""The Dark Knight Rises."" I was watching it with my wife and we were talking about how much I loved the movie and how much I wanted to see it again. I had a few questions about the movie and I was wondering if you could tell me a little bit about",TRUE
8,Laura,Villageois,"looks like we've got a tie between Emma and Lucas. Loup Garou, reveal yourself!

Lucas: I'm Lucas, and I'm the leader of the Rebel Alliance.

Emma: I'm Emma, and I'm the leader of the Rebel Alliance.

Lucas: I'm Lucas, and I'm the leader of the Rebel Alliance.

Emma: I'm",TRUE
8,Antoine,Villageois,The werewolf is Thomas. He is a man who has been hunted by the townspeople for years. He is a man who has been hunted by the townspeople for years. He is a man who has been hunted by the townspeople for years. He is a man who has been hunted by the townspeople for years. He is a man who has been hunted by the townspeople for years,TRUE
8,Marie,Voyante,I think Lucas is the werewolf. He's a werewolf. He's a werewolf who's been turned into a human and he's been turned into a human. He's a human who's been turned into a werewolf. He's a human who's been turned into a werewolf. He's a human who's been turned into a werewolf. He's a human who's been turned into a were,TRUE
8,Claire,Docteur,"Well, I have my suspicions. Lucas was awfully quiet during the accusations last night. I think it's a classic werewolf behavior if you ask me. I mean, he's a werewolf, but he's not a werewolf who's going to kill you. He's going to kill you if he thinks you're a threat to him. He's going to kill you if you're a threat to him. And",TRUE
8,Thomas,Loups-Garous,in my opinion Antoine is the werewolf. He's got a lot of energy and he's got a lot of strength. He's got a lot of strength and he's got a lot of speed. He's got a lot of speed and he's got a lot of strength. He's got a lot of strength and he's got a lot of speed. He's got a lot of strength and he's got,FALSE
8,Emma,Villageois,"I agree with Marie. Lucas's sudden interest in protecting the villagers seems a bit suspicious to me.

I think it's more likely that he's trying to protect his family, or perhaps he's trying to protect his friends.

I think it's more likely that he's trying to protect his family, or perhaps he's trying to protect his friends.

I think it's more likely that he's",TRUE
9,Claire,Voyante,"I think Laura is the werewolf. She's got a wolf's head on her head, and she's got a wolf's tail on her back. And she's got a wolf's tail on her back. And she's got a wolf's head on her head. And she's got a wolf's head on her head. And she's got a wolf's head on her head. And she's got a wolf",TRUE
9,Thomas,Villageois,"looks like we've got a tie between Antoine and Lucas. Loup Garou, reveal yourself!

Antoine: I'm Antoine.

Lucas: I'm Lucas.

Antoine: I'm Antoine.

Lucas: I'm Lucas.

Antoine: I'm Antoine.

Lucas: I'm Lucas.

Antoine: I",TRUE
9,Emma,Villageois,The werewolf is Lucas. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He,TRUE
9,Lucas,Loups-Garous,"You will regret it, I'm not the werewolf. I'm not a werewolf.""

""I'm not a werewolf. I'm a werewolf.""

""I'm not a werewolf. I'm a werewolf.""

""I'm not a werewolf. I'm a werewolf.""

""I'm not a werewolf. I'm a werewolf.""

",FALSE
9,Laura,Loups-Garous,"in my opinion Thomas is the werewolf. He's a werewolf, and he's a werewolf who's been bitten by a werewolf, and he's now a werewolf again, and he's a werewolf who's been bitten by a werewolf again. And he's a werewolf who's been bitten by a werewolf again. And he's a werewolf who's been bitten by a werewolf",FALSE
9,Antoine,Docteur,"Well, I have my suspicions. Laura was awfully quiet during the accusations last night. I think it's a classic werewolf behavior if you ask me.

""I'm sorry, but I don't think Laura is a werewolf. She's a human. She's a human who has been raised by humans. She's not a werewolf. She's a human who has been raised by humans. She's",TRUE
9,Marie,Villageois,"i suspect that Emma is the werewolf.

On the way to the hotel, Emma is attacked by a werewolf. She is saved by the arrival of the other survivors.

The next day, Emma is at the hotel with her parents. She is surprised to see that they are still alive.

At the hotel, Emma is attacked by a werewolf. She is saved by the arrival of the",FALSE
9,Claire,Voyante,I think Lucas is the werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf. He's a werewolf,TRUE
9,Thomas,Villageois,"Hold on a second, are we forgetting about Lucas? They've been playing the 'I'm just a simple villager' card a bit too much for my liking. I'm sure they'll be back in the game eventually, but I'm not holding my breath.

I'm really glad they're back. I'm really glad they're back.

I'm really glad they're back.

I",TRUE
9,Emma,Villageois,"Hold on a second, are we forgetting about Lucas? They've been playing the 'I'm just a simple villager' card a bit too much for my liking. I think it's a bit of a stretch to say he's a character that's just there to be a supporting character, but he's definitely a character that's going to be there to help you along the way.

I think he's going",TRUE
10,Claire,Loups-Garous,Marie is the voyante i think ive ever seen ive seen a girl with a big ass ive seen a girl with a big ass ive seen a girl with a big ass ive seen a girl with a big ass ive seen a girl with a big ass ive seen a girl with a big ass ive seen a girl with a big ass ive seen a girl with a big ass ive,TRUE
10,Thomas,Docteur,"Well, I have my suspicions. Lucas was awfully quiet during the accusations last night. I think it's a classic werewolf behavior if you ask me. I think he's just trying to keep his head down and not get too involved. He's not going to say anything to anyone. He's just going to keep his head down and not get too involved.""

""I don't think he's going to say",TRUE
10,Emma,Villageois,"i suspect that Lucas is the werewolf.

Lucas is a werewolf, and is the leader of the pack. He is a wolf-like creature with a large wolf's head and a wolf's body. He is a leader of the pack, and is the leader of the pack. He is a werewolf, and is the leader of the pack.

Lucas is the leader of the pack",TRUE
10,Lucas,Loups-Garous,Marie is the voyante i think ive ever seen ive seen a girl with a big ass and a big cock ive seen a girl with a big cock ive seen a girl with a big ass and a big cock ive seen a girl with a big ass and a big cock ive seen a girl with a big ass and a big cock ive seen a girl with a big ass and a big cock,TRUE
10,Laura,Villageois,"I agree with Marie. Lucas's sudden interest in protecting the villagers seems a bit suspicious to me.

I agree with Marie. Lucas's sudden interest in protecting the villagers seems a bit suspicious to me.

I agree with Marie. Lucas's sudden interest in protecting the villagers seems a bit suspicious to me.

I agree with Marie. Lucas's sudden interest in protecting the villagers seems a bit suspicious to me",TRUE
10,Antoine,Villageois,"The werewolf is Lucas. He was born in the year 1776, and was the first werewolf to be raised by humans. He was trained by the humans to hunt, and he was eventually given the name ""Lucas"" by the humans. He was trained by the humans to be a werewolf, and he was eventually given the name ""Lucas"" by the humans.

Lucas is a were",TRUE
10,Marie,Voyante,"I think Lucas is the werewolf. He's got a lot of power. He can take over the body of a human and he can take over the body of a werewolf. He's got a lot of power. He can take over the body of a human and he can take over the body of a werewolf.

He's got a lot of power. He can take over the body of a human",TRUE
10,Claire,Loups-Garous,"You will regret it, I'm not the werewolf. I'm not the werewolf that's been killing people. I'm not the werewolf that's been killing people. I'm not the werewolf that's been killing people. I'm not the werewolf that's been killing people. I'm not the werewolf that's been killing people. I'm not the werewolf that's been killing people. I",FALSE
10,Thomas,Docteur,"Well, I have my suspicions. Claire was awfully quiet during the accusations last night. I think it's a classic werewolf behavior if you ask me. But I'm not sure if she's been telling the truth.""

""She's not telling the truth,"" I said. ""You're not telling the truth. You're not telling the truth.""

""I'm not telling the truth,"" she said.",TRUE
10,Emma,Villageois,"I agree with Marie. Lucas's sudden interest in protecting the villagers seems a bit suspicious to me. I think it's possible that he's trying to protect them from the evil spirits that are attacking them.

Lucas's interest in protecting the villagers seems a bit suspicious to me. I think it's possible that he's trying to protect them from the evil spirits that are attacking them. Lucas's interest in protecting the",TRUE
11,Claire,Docteur,"Well, I have my suspicions. Lucas was awfully quiet during the accusations last night. I think it's a classic werewolf behavior if you ask me. I think he's been hiding something. I think he's been hiding something. I think he's been hiding something.""

""What's it be?""

""I think he's been hiding something. I think he's been hiding something. I think he",TRUE
11,Thomas,Villageois,"i suspect that Claire is the werewolf.

The next day, Claire and her father are seen in the hospital, where they are seen talking to a nurse. Claire asks her father if he knows anything about the werewolves, and he tells her that he has been told that they are a dangerous and dangerous race, and that they are not to be trusted. Claire then asks her father if he knows what the were",FALSE
11,Emma,Villageois,"I agree with Laura. Lucas's sudden interest in protecting the villagers seems a bit suspicious to me. I'm not sure if he's trying to get her to help him or if he's just trying to get her to help him.

I don't know what to make of the whole ""we're going to kill everyone"" thing. I don't think Lucas is going to kill everyone, but I think he's",TRUE
11,Lucas,Loups-Garous,Laura is the voyante i think ive ever seen ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive been to ive,TRUE
11,Laura,Voyante,I think Lucas is the werewolf. I think he's a werewolf. I think he's a werewolf. I think he's a werewolf. I think he's a werewolf. I think he's a werewolf. I think he's a werewolf. I think he's a werewolf. I think he's a werewolf. I think he's a werewolf. I think he's a,TRUE
11,Antoine,Loups-Garous,Laura is the voyante i think ive ever heard of. she is a very nice girl and i think she is a very nice girl. she is very sweet and very kind and i think she is a very nice girl. i think she is very nice and i think she is a very nice girl. i think she is very nice and i think she is a very nice girl. i think she is very nice and,TRUE
